Course Code,Course Name,Stream,Interests,Job Roles,Industries,Core Skills
128,Arts – Information Technology,Arts,"Arts – Information Technology, IT Infrastructure, Networking, Database management, Tech support, System administration, Cloud computing, Cybersecurity, Enterprise software, Hardware systems, Technology integration, Project management, Coding, Programming, Technology, Software development, Data analysis, Artificial Intelligence, Automation, Problem solving, Web design","IT Manager, Network Administrator, Systems Administrator, Database Administrator (DBA), IT Consultant, Cloud Support Engineer, Cybersecurity Specialist, Help Desk Manager, IT Project Manager, Enterprise Architect, Teacher/Educator, Writer/Author, Software Engineer, Web Developer, Data Scientist, Systems Analyst, Network Engineer, Database Administrator, Cloud Architect, UI/UX Designer","Information Technology, Software Development, Cybersecurity, Cloud Computing, FinTech, E-commerce, Telecommunications, AI/ML Research, Consulting, Tech Startups, Education, Media & Journalism, Gaming","Programming, System Design, Problem Solving, Algorithm Design, Database Management, Cloud Computing, Networking, Cybersecurity, Version Control (Git), Agile Methodologies, Writing, Public Speaking, Web Development, Data Analysis, Machine Learning"
68,Music,Arts,"Music, Writing, Reading, History, Languages, Culture, Society, Human behavior, Creativity, Public speaking, Media and Journalism, Acting/Performing","Journalist, Teacher/Lecturer, Translator, Writer/Author, Social Worker, Public Relations Officer, Media Producer, Historian, Sociologist, Diplomat, Musician, Actor/Director","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Cultural awareness, Language proficiency, Interpersonal skills"
69,Dance,Arts,"Dance, Writing, Reading, History, Languages, Culture, Society, Human behavior, Creativity, Public speaking, Media and Journalism, Acting/Performing, Music","Journalist, Teacher/Lecturer, Translator, Writer/Author, Social Worker, Public Relations Officer, Media Producer, Historian, Sociologist, Diplomat, Musician, Actor/Director","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Cultural awareness, Language proficiency, Interpersonal skills"
71,Drama & Theatre,Arts,"Drama & Theatre, Writing, Reading, History, Languages, Culture, Society, Human behavior, Creativity, Public speaking, Media and Journalism, Acting/Performing, Music","Journalist, Teacher/Lecturer, Translator, Writer/Author, Social Worker, Public Relations Officer, Media Producer, Historian, Sociologist, Diplomat, Musician, Actor/Director","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Cultural awareness, Language proficiency, Interpersonal skills"
85,Visual Arts,Arts,"Visual Arts, Literature, History, Philosophy, Sociology, Creative writing, Culture studies, Languages, Critical thinking, Human behavior, Art history, Geography, Writing, Reading, Culture, Society, Acting/Performing, Music, Media and Journalism, Public speaking","Teacher/Educator, Writer/Author, Journalist, Sociologist, Historian, Public Relations Specialist, Archivist, Civil Servant, Editor/Publisher, Museum Curator, Teacher/Lecturer, Translator, Social Worker, Public Relations Officer, Media Producer, Musician, Actor/Director","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Cultural awareness, Language proficiency, Interpersonal skills"
72,Visual & Technological Arts,Arts,"Visual & Technological Arts, Literature, History, Philosophy, Sociology, Creative writing, Culture studies, Languages, Critical thinking, Human behavior, Art history, Geography, Writing, Reading, Culture, Society, Acting/Performing, Music, Media and Journalism, Public speaking","Teacher/Educator, Writer/Author, Journalist, Sociologist, Historian, Public Relations Specialist, Archivist, Civil Servant, Editor/Publisher, Museum Curator, Teacher/Lecturer, Translator, Social Worker, Public Relations Officer, Media Producer, Musician, Actor/Director","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Cultural awareness, Language proficiency, Interpersonal skills"
70,Art & Design,Arts,"Art & Design, Writing, Reading, History, Languages, Culture, Society, Human behavior, Creativity, Public speaking, Media and Journalism, Building things, Problem solving, Mathematics, Physics, Technology, Designing structures, Innovation, Construction, Sustainable design, Mechanics","Journalist, Teacher/Lecturer, Translator, Writer/Author, Social Worker, Public Relations Officer, Media Producer, Historian, Sociologist, Diplomat, Engineer, Architect, Project Manager, Quantity Surveyor, Structural Engineer, Urban Planner, Site Engineer, Consultant Engineer, Design Engineer, Quality Assurance Engineer","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services, Construction, Manufacturing, Technology, Automotive, Aerospace, Energy & Power, Telecommunications, Infrastructure, Consulting Firms, Real Estate","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Advanced Mathematics, Physics, CAD / Modeling, Project Management, Analytical Thinking, Problem Solving, Technical Drawing, Structural Analysis, Safety Management"
16,Management,Commerce,"Management, Business strategy, Leadership, Organizational behavior, Operations, Project management, Entrepreneurship, Problem solving, Data analysis, Team building, Economics, Corporate governance, Business, Money & Finance, Marketing, Working with people, Startups, Sales, Managing teams, Strategic planning, Corporate world","Business Manager, Management Consultant, Operations Manager, Project Manager, Entrepreneur, Business Analyst, General Manager, Strategic Planner, Corporate Executive, Supply Chain Manager, Accountant, Financial Analyst, Marketing Executive, HR Manager, Banker, Logistics Manager, Sales Director","Banking & Finance, Corporate Sector, Retail, Marketing & Advertising, Supply Chain & Logistics, Real Estate, Insurance, Consulting, E-commerce, FMCG, Human Resources, Startups","Leadership, Financial Analysis, Communication, Strategic Planning, Negotiation, Marketing, Problem Solving, Time Management, Team Building, Data-driven Decision Making, Financial analysis, Strategic planning, Accounting, Problem solving, Time management, Data-driven decision making"
28,Management and Public Policy,Commerce,"Management and Public Policy, Business strategy, Leadership, Organizational behavior, Operations, Project management, Entrepreneurship, Problem solving, Data analysis, Team building, Economics, Corporate governance, Business, Money & Finance, Marketing, Working with people, Startups, Sales, Managing teams, Strategic planning, Corporate world","Business Manager, Management Consultant, Operations Manager, Project Manager, Entrepreneur, Business Analyst, General Manager, Strategic Planner, Corporate Executive, Supply Chain Manager, Accountant, Financial Analyst, Marketing Executive, HR Manager, Banker, Logistics Manager, Sales Director","Banking & Finance, Corporate Sector, Retail, Marketing & Advertising, Supply Chain & Logistics, Real Estate, Insurance, Consulting, E-commerce, FMCG, Human Resources, Startups","Leadership, Financial Analysis, Communication, Strategic Planning, Negotiation, Marketing, Problem Solving, Time Management, Team Building, Data-driven Decision Making, Financial analysis, Strategic planning, Accounting, Problem solving, Time management, Data-driven decision making"
17,Real Estate Management and Valuation,Commerce,"Real Estate Management and Valuation, Business strategy, Leadership, Organizational behavior, Operations, Project management, Entrepreneurship, Problem solving, Data analysis, Team building, Economics, Corporate governance, Business, Money & Finance, Marketing, Working with people, Startups, Sales, Managing teams, Strategic planning, Corporate world","Business Manager, Management Consultant, Operations Manager, Project Manager, Entrepreneur, Business Analyst, General Manager, Strategic Planner, Corporate Executive, Supply Chain Manager, Accountant, Financial Analyst, Marketing Executive, HR Manager, Banker, Logistics Manager, Sales Director","Banking & Finance, Corporate Sector, Retail, Marketing & Advertising, Supply Chain & Logistics, Real Estate, Insurance, Consulting, E-commerce, FMCG, Human Resources, Startups","Leadership, Financial Analysis, Communication, Strategic Planning, Negotiation, Marketing, Problem Solving, Time Management, Team Building, Data-driven Decision Making, Financial analysis, Strategic planning, Accounting, Problem solving, Time management, Data-driven decision making"
18,Commerce,Commerce,"Commerce, Business, Money & Finance, Leadership, Marketing, Working with people, Economics, Sales, Managing teams, Strategic planning, Corporate world, Startups","Business Manager, Accountant, Financial Analyst, Marketing Executive, HR Manager, Banker, Entrepreneur, Management Consultant, Sales Director, Project Manager, Logistics Manager","Banking & Finance, Corporate Sector, Retail, Marketing & Advertising, Supply Chain & Logistics, Real Estate, Insurance, Consulting, E-commerce, FMCG, Human Resources, Startups","Leadership, Financial Analysis, Communication, Strategic Planning, Negotiation, Marketing, Problem Solving, Time Management, Team Building, Data-driven Decision Making, Financial analysis, Strategic planning, Accounting, Problem solving, Time management, Data-driven decision making"
22,Management Studies (TV),Any (all streams eligible),"Management Studies (TV), Business strategy, Leadership, Organizational behavior, Operations, Project management, Entrepreneurship, Problem solving, Data analysis, Team building, Economics, Corporate governance, Business, Money & Finance, Marketing, Working with people, Startups, Sales, Managing teams, Strategic planning, Corporate world","Business Manager, Management Consultant, Operations Manager, Project Manager, Entrepreneur, Business Analyst, General Manager, Strategic Planner, Corporate Executive, Supply Chain Manager, Accountant, Financial Analyst, Marketing Executive, HR Manager, Banker, Logistics Manager, Sales Director","Banking & Finance, Corporate Sector, Retail, Marketing & Advertising, Supply Chain & Logistics, Real Estate, Insurance, Consulting, E-commerce, FMCG, Human Resources, Startups","Leadership, Financial Analysis, Communication, Strategic Planning, Negotiation, Marketing, Problem Solving, Time Management, Team Building, Data-driven Decision Making, Financial analysis, Strategic planning, Accounting, Problem solving, Time management, Data-driven decision making"
77,Business Information Systems (Honours) (BIS),Commerce,"Business Information Systems (Honours) (BIS), Business, Money & Finance, Leadership, Marketing, Working with people, Economics, Sales, Managing teams, Strategic planning, Corporate world, Coding, Programming, Technology, Software development, Data analysis, Cybersecurity, Artificial Intelligence, Automation, Problem solving, Web design","Business Manager, Accountant, Financial Analyst, Marketing Executive, HR Manager, Banker, Entrepreneur, Management Consultant, Sales Director, Project Manager, Software Engineer, Web Developer, Data Scientist, Systems Analyst, Network Engineer, Cybersecurity Specialist, IT Consultant, Database Administrator, Cloud Architect, UI/UX Designer","Banking & Finance, Corporate Sector, Retail, Marketing & Advertising, Supply Chain & Logistics, Real Estate, Insurance, Consulting, E-commerce, FMCG, Information Technology, Software Development, Telecommunications, FinTech, Gaming, Cybersecurity, Tech Startups","Leadership, Financial Analysis, Communication, Strategic Planning, Negotiation, Marketing, Problem Solving, Time Management, Team Building, Data-driven Decision Making, Programming, Algorithm Design, Web Development, Database Management, Cloud Computing, Data Analysis, Networking, Cybersecurity, Machine Learning"
127,Accounting Information Systems,Commerce,"Accounting Information Systems, Financial reporting, Auditing, Taxation, Corporate finance, Numbers & mathematics, Data analysis, Regulatory compliance, Investment strategies, Economics, Risk management, Budgeting, Coding, Programming, Technology, Software development, Cybersecurity, Artificial Intelligence, Automation, Problem solving, Web design","Chartered Accountant, Financial Auditor, Tax Consultant, Management Accountant, Financial Analyst, Chief Financial Officer (CFO), Investment Banker, Forensic Accountant, Corporate Treasurer, Risk Manager, Software Engineer, Web Developer, Data Scientist, Systems Analyst, Network Engineer, Cybersecurity Specialist, IT Consultant, Database Administrator, Cloud Architect, UI/UX Designer","Banking & Finance, Corporate Sector, Retail, Marketing & Advertising, Supply Chain & Logistics, Real Estate, Insurance, Consulting, E-commerce, FMCG, Information Technology, Software Development, Telecommunications, FinTech, Gaming, Cybersecurity, Tech Startups","Leadership, Financial Analysis, Communication, Strategic Planning, Negotiation, Marketing, Problem Solving, Time Management, Team Building, Data-driven Decision Making, Programming, Algorithm Design, Web Development, Database Management, Cloud Computing, Data Analysis, Networking, Cybersecurity, Machine Learning"
133,Banking and Insurance,Commerce,"Banking and Insurance, Business, Money & Finance, Leadership, Marketing, Working with people, Economics, Sales, Managing teams, Strategic planning, Corporate world, Startups","Business Manager, Accountant, Financial Analyst, Marketing Executive, HR Manager, Banker, Entrepreneur, Management Consultant, Sales Director, Project Manager, Logistics Manager","Banking & Finance, Corporate Sector, Retail, Marketing & Advertising, Supply Chain & Logistics, Real Estate, Insurance, Consulting, E-commerce, FMCG, Human Resources, Startups","Leadership, Financial Analysis, Communication, Strategic Planning, Negotiation, Marketing, Problem Solving, Time Management, Team Building, Data-driven Decision Making, Financial analysis, Strategic planning, Accounting, Problem solving, Time management, Data-driven decision making"
140,Service Management,Commerce,"Service Management, Business strategy, Leadership, Organizational behavior, Operations, Project management, Entrepreneurship, Problem solving, Data analysis, Team building, Economics, Corporate governance, Business, Money & Finance, Marketing, Working with people, Startups, Sales, Managing teams, Strategic planning, Corporate world","Business Manager, Management Consultant, Operations Manager, Project Manager, Entrepreneur, Business Analyst, General Manager, Strategic Planner, Corporate Executive, Supply Chain Manager, Accountant, Financial Analyst, Marketing Executive, HR Manager, Banker, Logistics Manager, Sales Director","Banking & Finance, Corporate Sector, Retail, Marketing & Advertising, Supply Chain & Logistics, Real Estate, Insurance, Consulting, E-commerce, FMCG, Human Resources, Startups","Leadership, Financial Analysis, Communication, Strategic Planning, Negotiation, Marketing, Problem Solving, Time Management, Team Building, Data-driven Decision Making, Financial analysis, Strategic planning, Accounting, Problem solving, Time management, Data-driven decision making"
1,Medicine,Biological Science,"Medicine, Human anatomy, Medical research, Patient care, Surgery, Clinical diagnostics, Healthcare tech, Saving lives, Pharmacology, Public health policy, Emergency care, Pathology, Healthcare, Medical diagnostics, Clinical research, Disease prevention, Public health, Biology, Emergency response","Medical Officer, Surgeon, General Practitioner, Clinical Researcher, Hospital Administrator, Medical Consultant, Specialist Doctor, Epidemiologist, Medical Lecturer, Public Health Director, Medical Doctor, Healthcare Consultant, Specialist, Therapist, Pharmacist, Public Health Official","Healthcare, Hospitals & Clinics, Pharmaceuticals, Public Health, Medical Devices, Biotechnology, Rehabilitation Centers, NGOs, Government Health Services, Medical Education","Clinical Skills, Patient Communication, Empathy, Attention to Detail, Critical Thinking, Medical Diagnostics, First Aid, Stress Management, Anatomy & Physiology, Teamwork, Anatomy Knowledge, Observation"
2,Dental Surgery,Biological Science,"Dental Surgery, Oral health, Dental surgery, Orthodontics, Maxillofacial surgery, Preventive dentistry, Cosmetic dentistry, Patient care, Clinical procedures, Healthcare, Dental radiography, Human anatomy, Medical diagnostics, Clinical research, Disease prevention, Saving lives, Pharmacology, Public health, Biology, Emergency response","Dentist, Dental Surgeon, Orthodontist, Periodontist, Prosthodontist, Oral Pathologist, Dental Public Health Specialist, Pediatric Dentist, Dental Consultant, Clinic Director, Medical Doctor, Surgeon, Healthcare Consultant, Clinical Researcher, Specialist, Therapist, Pharmacist, Medical Officer, Hospital Administrator, Public Health Official","Healthcare, Hospitals & Clinics, Pharmaceuticals, Public Health, Medical Devices, Biotechnology, Rehabilitation Centers, NGOs, Government Health Services, Medical Education","Clinical Skills, Patient Communication, Empathy, Attention to Detail, Critical Thinking, Medical Diagnostics, First Aid, Stress Management, Anatomy & Physiology, Teamwork, Anatomy Knowledge, Observation"
3,Veterinary Science,Biological Science,"Veterinary Science, Scientific research, Data analysis, Experiments, Mathematics, Biology, Chemistry, Physics, Problem solving, Laboratory work, Discovering new things, Nature, Environment","Research Scientist, Lab Technician, Data Analyst, Statistician, Chemist, Biologist, Academic Researcher, Science Teacher, Quality Control Inspector, Environmental Consultant","Scientific Research, Education, Environmental Services, Manufacturing, Government Research Institutes, Chemical Industry, Space & Aeronautics, Biotech, Data Analytics, Agriculture, Pharmaceuticals, Biotechnology","Laboratory Skills, Data Analysis, Statistical Modeling, Critical Thinking, Research Methodology, Report Writing, Mathematical Calculation, Experiment Design, Scientific Computing, Observation, Laboratory skills, Statistical modeling, Critical thinking, Research methodology, Report writing, Mathematical calculation, Experiment design"
39,Agricultural Technology & Management,Biological Science,"Agricultural Technology & Management, Business strategy, Leadership, Organizational behavior, Operations, Project management, Entrepreneurship, Problem solving, Data analysis, Team building, Economics, Corporate governance, Business, Money & Finance, Marketing, Working with people, Startups, Sales, Managing teams, Strategic planning, Corporate world","Business Manager, Management Consultant, Operations Manager, Project Manager, Entrepreneur, Business Analyst, General Manager, Strategic Planner, Corporate Executive, Supply Chain Manager, Accountant, Financial Analyst, Marketing Executive, HR Manager, Banker, Logistics Manager, Sales Director","Banking & Finance, Corporate Sector, Retail, Marketing & Advertising, Supply Chain & Logistics, Real Estate, Insurance, Consulting, E-commerce, FMCG, Human Resources, Startups","Leadership, Financial Analysis, Communication, Strategic Planning, Negotiation, Marketing, Problem Solving, Time Management, Team Building, Data-driven Decision Making, Financial analysis, Strategic planning, Accounting, Problem solving, Time management, Data-driven decision making"
4,Agriculture,Biological Science,"Agriculture, Farming technologies, Crop science, Soil management, Agribusiness, Sustainability, Plant pathology, Genetics, Food production, Environmental conservation, Agricultural machinery, Botany, Farming, Animals, Nature, Environment, Marine life, Outdoors, Climate change, Agri-business","Agronomist, Agricultural Scientist, Farm Manager, Plant Breeder, Soil Scientist, Agribusiness Manager, Agricultural Extension Officer, Horticulturist, Crop Consultant, Agricultural Economist, Food Technologist, Environmental Officer, Plantation Manager, Marine Biologist, Quality Assurance Manager, Export Manager, Sustainability Consultant","Agriculture & Farming, Food & Beverage Production, Plantations, Export & Trade, Environmental Conservation, Agrochemicals, Marine & Fisheries, Forestry, Research, Sustainable Energy, Agriculture, Government Agri Departments","Agricultural Management, Food Safety Standards, Environmental Assessment, Biology, Sustainability Practices, Farm Machinery Handling, Supply Chain Management, Research Skills, Soil Analysis, Pest Management, Sustainability practices, Farm machinery handling, Supply chain management, Research skills, Soil analysis"
5,Food Science & Nutrition,Biological Science,"Food Science & Nutrition, Food safety, Nutrition, Food processing, Chemistry, Product development, Quality assurance, Microbiology, Dietetics, Culinary science, Sensory evaluation, Health, Farming, Animals, Nature, Environment, Food production, Botany, Sustainability, Marine life, Outdoors, Climate change, Agri-business","Food Technologist, Quality Assurance Manager, Nutritionist, Dietitian, Product Development Scientist, Food Safety Inspector, Flavor Chemist, Sensory Scientist, Production Manager, Research & Development Chef, Agricultural Scientist, Farm Manager, Environmental Officer, Plantation Manager, Marine Biologist, Agronomist, Export Manager, Sustainability Consultant","Healthcare, Hospitals & Clinics, Pharmaceuticals, Public Health, Medical Devices, Biotechnology, Rehabilitation Centers, NGOs, Government Health Services, Medical Education, Agriculture, Food & Beverage Production, Plantations, Export & Trade, Environmental Conservation, Government Agri Departments, Marine & Fisheries, Sustainable Energy","Clinical Skills, Patient Communication, Empathy, Attention to Detail, Critical Thinking, Medical Diagnostics, First Aid, Stress Management, Anatomy & Physiology, Teamwork, Agricultural Management, Food Safety Standards, Environmental Assessment, Biology, Sustainability practices, Farm machinery handling, Supply chain management, Research skills, Soil analysis"
35,Food Science & Technology,Biological Science,"Food Science & Technology, Food safety, Nutrition, Food processing, Chemistry, Product development, Quality assurance, Microbiology, Dietetics, Culinary science, Sensory evaluation, Health, Farming, Animals, Nature, Environment, Food production, Botany, Sustainability, Marine life, Outdoors, Climate change, Agri-business","Food Technologist, Quality Assurance Manager, Nutritionist, Dietitian, Product Development Scientist, Food Safety Inspector, Flavor Chemist, Sensory Scientist, Production Manager, Research & Development Chef, Agricultural Scientist, Farm Manager, Environmental Officer, Plantation Manager, Marine Biologist, Agronomist, Export Manager, Sustainability Consultant","Healthcare, Hospitals & Clinics, Pharmaceuticals, Public Health, Medical Devices, Biotechnology, Rehabilitation Centers, NGOs, Government Health Services, Medical Education, Agriculture, Food & Beverage Production, Plantations, Export & Trade, Environmental Conservation, Government Agri Departments, Marine & Fisheries, Sustainable Energy","Clinical Skills, Patient Communication, Empathy, Attention to Detail, Critical Thinking, Medical Diagnostics, First Aid, Stress Management, Anatomy & Physiology, Teamwork, Agricultural Management, Food Safety Standards, Environmental Assessment, Biology, Sustainability practices, Farm machinery handling, Supply chain management, Research skills, Soil analysis"
